Fecha,Centro Ozono,Centro diÛxido de azufre,Centro diÛxido de nitrÛgeno,Centro monÛxido de carbono,Centro PM10
2022-07-11,33.91666667,8.916666667,12.70833333,3.916666667,35.25
2022-07-12,36.75,4.333333333,16.875,5.125,52.08333333
2022-07-13,33.54166667,4,12.875,3.333333333,54.875
2022-07-14,32.66666667,4,14.79166667,3.833333333,43.25
2022-07-15,17.625,4,13.83333333,3.708333333,40.66666667
2022-07-16,17.5,3.083333333,10.75,4.833333333,39
2022-07-17,28.04166667,2,10.04166667,3.708333333,35.29166667
2022-07-18,17.83333333,3.083333333,20.16666667,6.416666667,47.375
2022-07-19,35.16666667,7.5,15.33333333,5.666666667,66.75
2022-07-20,28.04166667,4.583333333,15.83333333,4.75,54.16666667
2022-07-21,36.16666667,4,14.79166667,3.625,49.41666667
2022-07-22,33.5,10.91666667,16.08333333,3.75,61.70833333
2022-07-23,29.20833333,8.416666667,12.08333333,3.166666667,57.16666667
2022-07-24,24.45833333,2.75,9.958333333,3.166666667,38.41666667
2022-07-25,16.375,2,11.33333333,3.291666667,29.25
2022-07-26,26.625,3.583333333,11.375,4.041666667,39.58333333
2022-07-27,16.375,8,16.875,4.041666667,45.08333333
2022-07-28,21.125,5.5,18.41666667,7.833333333,50.375
2022-07-29,12.54166667,4,21.08333333,7.291666667,47.41666667
2022-07-30,22.5,4,12.08333333,4.833333333,50.33333333
2022-07-31,31.04166667,5.916666667,8.833333333,2.208333333,38.25
2022-08-01,22.91666667,4.583333333,12.54166667,3.125,29.66666667
2022-08-02,21.41666667,4,16.375,5.5,31.375
2022-08-03,41.20833333,4,15.04166667,5.666666667,35.83333333
2022-08-04,27.16666667,4,19.20833333,6.375,36.54166667
2022-08-05,29,4,13.95833333,4.791666667,47
2022-08-06,31.25,6.75,12.54166667,3.375,46.16666667
2022-08-07,26.375,5.666666667,11.20833333,3.916666667,41
2022-08-08,18.58333333,3.083333333,12.08333333,3.541666667,21.41666667
2022-08-09,19.08333333,3.166666667,13.70833333,4.083333333,23
2022-08-10,23.16666667,3.083333333,13.41666667,5.416666667,31.08333333
2022-08-11,20.79166667,9.5,11.08333333,3.416666667,34.875
2022-08-12,21.5,9.833333333,13.66666667,4.333333333,27.54166667
2022-08-13,28.45833333,6.5,15.45833333,5.208333333,30.70833333
2022-08-14,24.75,2.75,11.79166667,4.583333333,28.25
2022-08-15,15.54166667,2,13.25,4.166666667,15.91666667
2022-08-16,10.20833333,2,17.45833333,6.291666667,20.70833333
2022-08-17,21.33333333,3.416666667,16.875,5.875,33.16666667
2022-08-18,21.79166667,3.166666667,17.08333333,4.5,35.75
2022-08-19,23.70833333,4.833333333,19.08333333,7.208333333,43.75
2022-08-20,17.5,3.083333333,10.79166667,3.541666667,34.75
2022-08-21,21.29166667,2.416666667,14.08333333,4.25,27.125
2022-08-22,26.41666667,8.25,14.83333333,5.625,39.875
2022-08-23,17.58333333,6.75,12.66666667,4.125,34.45833333
2022-08-24,27.66666667,6.75,14.125,4.458333333,35.58333333
2022-08-25,23.08333333,7,11.5,3.541666667,39.79166667
2022-08-26,22.5,2.416666667,14.20833333,3.291666667,33.58333333
2022-08-27,33.04166667,3.333333333,18.04166667,7.125,45.04166667
2022-08-28,35.5,4,11.20833333,3.375,41.08333333
2022-08-29,29.58333333,4,13.66666667,4.666666667,33.95833333
2022-08-30,20.58333333,2.916666667,13.875,4.583333333,30.04166667
2022-08-31,20.16666667,3,13.33333333,4.541666667,31.54166667
2022-09-01,16.58333333,3.75,9.958333333,3.875,32.41666667
2022-09-02,16.41666667,3.666666667,8.625,3.041666667,23.41666667
2022-09-03,14.20833333,2,7.708333333,3.166666667,23.41666667
2022-09-04,16.54166667,2,8.291666667,3.5,20.04166667
2022-09-05,10.04166667,2,8.75,4.666666667,17.70833333
2022-09-06,16.04166667,2.666666667,15.75,6.208333333,18.375
2022-09-07,12.04166667,2.166666667,15.25,5.791666667,27.16666667
2022-09-08,12.04166667,2.666666667,11.125,4.416666667,23.20833333
2022-09-09,32.91666667,7.166666667,15.41666667,5.625,32.375
2022-09-10,30.29166667,6.583333333,15.41666667,5.791666667,42.83333333
2022-09-11,32.625,4,9.458333333,3.25,31.16666667
2022-09-12,25.58333333,2.333333333,11.58333333,3.791666667,24.08333333
2022-09-13,24.29166667,9.083333333,12,3.791666667,29.75
2022-09-14,20.54166667,4.25,12.125,3.791666667,32.83333333
2022-09-15,13.25,3,11.45833333,4.041666667,27.33333333
2022-09-16,14.83333333,5.333333333,7.458333333,2.25,23.29166667
2022-09-17,16.75,3.083333333,11.375,3.333333333,15.75
2022-09-18,12.16666667,4,11.29166667,4.708333333,25.125
2022-09-19,11.75,3.75,13.16666667,5.291666667,19.91666667
2022-09-20,15.66666667,4,12.04166667,4.125,26.125
2022-09-21,23.91666667,2.833333333,10.33333333,3.416666667,24.70833333
2022-09-22,20.625,2,9.5,2.5,21.625
2022-09-23,20.5,3.583333333,10.75,3.291666667,21.45833333
2022-09-24,23.91666667,4.833333333,13.375,4.75,27.16666667
2022-09-25,20.16666667,4.333333333,11.125,4.541666667,28.625
2022-09-26,15.41666667,3.166666667,9.291666667,3.25,22.125
2022-09-27,18,2,11.375,3.583333333,18.625
2022-09-28,21.25,2,11.41666667,3.791666667,19.83333333
2022-09-29,29.20833333,2,9.375,2.916666667,20.04166667
2022-09-30,27.625,4.25,15.04166667,4.333333333,31.41666667
2022-10-01,33.04166667,19.08333333,16.16666667,4.125,52.75
2022-10-02,36.95833333,34.41666667,14.70833333,4.041666667,55.16666667
2022-10-03,38.375,19.08333333,16.33333333,4.75,55.16666667
2022-10-04,30.29166667,13.16666667,19.20833333,5.291666667,60.375
2022-10-05,33.20833333,7.583333333,20.16666667,6.25,50.20833333
2022-10-06,17.04166667,5.25,14.79166667,5.083333333,43.79166667
2022-10-07,20.875,4.666666667,13.58333333,3.958333333,31.54166667
2022-10-08,11.95833333,3.416666667,10.91666667,3.333333333,28.875
2022-10-09,15.08333333,2,10.25,2.583333333,19.16666667
2022-10-10,19.16666667,2,12.41666667,3.791666667,15.125
2022-10-11,15,2.5,14.375,5.541666667,26.25
2022-10-12,17.70833333,6.583333333,14.41666667,5.666666667,36.79166667
2022-10-13,21.5,6.416666667,14.66666667,4.875,34.91666667
2022-10-14,31.20833333,7.583333333,15.95833333,5.041666667,38.875
2022-10-15,37.95833333,8.416666667,15.625,4.083333333,46.125
2022-10-16,33.54166667,12.08333333,12.08333333,3.875,45.625
2022-10-17,23.75,6.75,15.625,6.25,42.54166667
2022-10-18,9.625,4.666666667,11.875,5,29.20833333
2022-10-19,12.25,3.166666667,12.375,4.416666667,19.83333333
2022-10-20,21.83333333,4,17,5.625,32.45833333
2022-10-21,14.79166667,26.91666667,20.45833333,7.208333333,38
2022-10-22,33.83333333,12.83333333,18.625,9.25,59.20833333
2022-10-23,36.54166667,5.833333333,15.33333333,6.333333333,50.66666667
2022-10-24,34.375,5.083333333,17.45833333,6.791666667,53.08333333
2022-10-25,32.20833333,4.583333333,18.91666667,7.375,68.16666667
2022-10-26,32.79166667,7,20.375,6.833333333,61.33333333
2022-10-27,29.70833333,4.583333333,21.20833333,7.666666667,73.33333333
2022-10-28,36.70833333,4,21.16666667,8.25,69.41666667
2022-10-29,35.20833333,12.5,16.25,5.083333333,61.875
2022-10-30,33.375,8.333333333,14.70833333,3.916666667,54.70833333
2022-10-31,25.54166667,4.5,16.33333333,5,46.04166667
2022-11-01,26.70833333,5.833333333,17.875,5.708333333,56
2022-11-02,27.79166667,9.25,11.41666667,2.583333333,53.625
2022-11-03,17.33333333,24.83333333,21.20833333,5.708333333,50.70833333
2022-11-04,19.45833333,13.16666667,19.33333333,7.375,57.33333333
2022-11-05,27.5,5.416666667,20,9.25,49.625
2022-11-06,35.45833333,5.583333333,16.66666667,6.166666667,68.75
2022-11-07,19.70833333,6.5,16.91666667,5.333333333,44.04166667
2022-11-08,18.375,7.583333333,11.79166667,2.583333333,33.625
2022-11-09,19.625,5.25,15,4,39.25
2022-11-10,16.45833333,6.666666667,18.375,5.833333333,43.75
2022-11-11,35.91666667,7.5,21.125,5.958333333,63.33333333
2022-11-12,46.625,7.083333333,21.29166667,7.041666667,83.625
2022-11-13,41.125,16.75,14.54166667,3.875,73.75
2022-11-14,27.5,5.75,16.41666667,4.791666667,53.20833333
2022-11-15,26.16666667,6.666666667,19.29166667,7.125,59.41666667
2022-11-16,28.625,13.91666667,18.20833333,3.875,66.41666667
2022-11-17,27.20833333,12.83333333,19,6.583333333,62.70833333
2022-11-18,19.875,10.33333333,16.625,4.333333333,53.58333333
2022-11-19,21.375,6.75,20.20833333,6.333333333,52.625
2022-11-20,13.5,11.16666667,13.125,4.916666667,51.20833333
2022-11-21,16,15,13.66666667,4,42.54166667
2022-11-22,15.25,6.583333333,18.75,6.083333333,41.04166667
2022-11-23,21.75,11.75,19.25,6.708333333,66.83333333
2022-11-24,19.75,9.166666667,23.70833333,9.708333333,72.79166667
2022-11-25,15.16666667,6.5,18.625,9.208333333,71.79166667
2022-11-26,15.75,4.166666667,15.20833333,7.666666667,39.95833333
2022-11-27,19.79166667,4,18.25,8.166666667,44.54166667
2022-11-28,15.33333333,4.666666667,20.20833333,8.125,43.33333333
2022-11-29,18.45833333,6.25,23.70833333,9.375,57.20833333
2022-11-30,16.41666667,5.166666667,15.70833333,7.875,61.33333333
2022-12-01,17.25,4.166666667,12.66666667,4.291666667,37.91666667
2022-12-02,19.5,12.66666667,16.54166667,5.625,44.41666667
2022-12-03,11.625,14.83333333,14.20833333,5.5,58.70833333
2022-12-04,19.875,6.416666667,12.875,3.5,33.25
2022-12-05,22.29166667,10.5,22.625,7.625,38.625
2022-12-06,26.83333333,8,28.125,11.91666667,69.16666667
2022-12-07,13.54166667,9,23.625,11.33333333,83.58333333
2022-12-08,17.83333333,16.41666667,21.25,7.125,68.33333333
